Iteration,Fitness,Chromosomes
0,6.817,[-19.16, 13.82, 7.96, -18.24, -2.75, 26.27, 0.38, 0.64, -9.13, 29.74, -5.86, -21.11, -22.29, 13.17, 0.76, 20.17, -4.05, 16.38, -2.4, -11.29]
100,1.485,[0.11, -1.08, -2.85, -1.92, 0.92, -4.93, -3.91, 1.09, -3.01, -1.98, 0.11, 2.1, 3.18, -1.0, -2.78, 1.13, 2.04, 1.11, 0.03, -3.24]
200,0.805,[-0.98, -1.08, 0.05, 2.05, 0.92, -2.04, 1.99, 1.09, -3.01, -1.98, 0.11, -1.05, -0.92, -1.0, -1.04, 1.13, 2.04, 1.11, 0.03, 0.13]
300,0.618,[0.11, -1.01, 0.05, 2.05, 0.92, 0.97, 1.99, -0.0, 0.93, -1.98, 0.11, -1.05, -0.92, -1.0, -1.04, -0.05, 0.07, -0.11, 0.03, 0.13]
400,0.521,[-0.98, -1.01, 0.05, 2.05, -0.07, 0.97, 1.02, -0.0, -0.99, -1.98, 0.11, -1.05, -1.03, -1.0, -1.04, -0.05, 0.07, -0.11, 0.03, 0.1]
500,0.437,[-0.06, -1.01, 0.05, 0.0, -0.07, 0.97, 1.02, -0.0, -0.99, -1.02, -2.06, 0.96, -1.03, -1.0, -1.04, -0.05, 0.07, 0.97, 0.02, 0.1]
600,0.404,[-0.06, -1.01, 0.05, 0.0, -0.07, 0.97, 1.02, -0.0, -0.99, -1.02, 0.11, 0.96, -1.03, -1.0, -1.04, -0.05, 0.07, 0.97, 0.02, 0.1]
700,0.372,[-0.06, -1.01, 0.05, 0.0, -0.07, 0.97, 1.02, -0.0, -0.99, -1.02, 0.01, 0.96, -1.03, -1.0, -1.04, -0.04, 0.07, 0.97, 0.02, 0.1]
800,0.356,[-0.06, -1.01, 0.05, 0.0, -0.07, 0.97, 0.0, -0.0, -0.99, -1.02, 0.01, 0.96, -1.03, -1.0, -1.04, -0.04, 0.07, 0.97, 0.02, 0.1]
900,0.356,[-0.06, -1.01, 0.05, 0.0, -0.07, 0.97, 0.0, -0.0, -0.99, -1.02, 0.01, 0.96, -1.03, -1.0, -1.04, -0.04, 0.07, 0.97, 0.02, 0.1]
1000,0.356,[-0.06, -1.01, 0.05, 0.0, -0.07, 0.97, 0.0, -0.0, -0.99, -1.02, 0.01, 0.96, -1.03, -1.0, -1.04, -0.04, 0.07, 0.97, 0.02, 0.1]
